CRIM,INDUS,RM,DIS,PRICE
0.5405,3.97,7.47,2.872,43.5
0.09065,6.96,5.92,3.9175,20.7
0.29916,6.96,5.856,4.429,21.1
0.16211,6.96,6.24,4.429,25.2
0.1146,6.96,6.538,3.9175,24.4
0.22188,6.96,7.691,4.3665,35.2
0.05644,6.41,6.758,4.0776,32.4
0.09604,6.41,6.854,4.2673,32.0
0.10469,6.41,7.267,4.7872,33.2
0.06127,6.41,6.826,4.8628,33.1
0.07978,6.41,6.482,4.1403,29.1
0.21038,3.33,6.812,4.1007,35.1
0.03578,3.33,7.82,4.6947,45.4
0.03705,3.33,6.968,5.2447,35.4
0.06129,3.33,7.645,5.2119,46.0
0.01501,1.21,7.923,5.885,50.0
0.00906,2.97,7.088,7.3073,32.2
0.01096,2.25,6.453,7.3073,22.0
0.01965,1.76,6.23,9.0892,20.1
0.03871,5.32,6.209,7.3172,23.2
0.0459,5.32,6.315,7.3172,22.3
0.04297,5.32,6.565,7.3172,24.8
0.03502,4.95,6.861,5.1167,28.5
0.07886,4.95,7.148,5.1167,37.3
0.03615,4.95,6.63,5.1167,27.9
0.08265,13.92,6.127,5.5027,23.9
0.08199,13.92,6.009,5.5027,21.7
0.12932,13.92,6.678,5.9604,28.6
0.05372,13.92,6.549,5.9604,27.1
0.14103,13.92,5.79,6.32,20.3
0.06466,2.24,6.345,7.8278,22.5
0.05561,2.24,7.041,7.8278,29.0
0.04417,2.24,6.871,7.8278,24.8
0.03537,6.09,6.59,5.4917,22.0
0.09266,6.09,6.495,5.4917,26.4
0.1,6.09,6.982,5.4917,33.1
0.05515,2.18,7.236,4.022,36.1
0.05479,2.18,6.616,3.37,28.4
0.07503,2.18,7.42,3.0992,33.4
0.04932,2.18,6.849,3.1827,28.2
0.49298,9.9,6.635,3.3175,22.8
0.3494,9.9,5.972,3.1025,20.3
2.63548,9.9,4.973,2.5194,16.1
0.79041,9.9,6.122,2.6403,22.1
0.26169,9.9,6.023,2.834,19.4
0.26938,9.9,6.266,3.2628,21.6
0.3692,9.9,6.567,3.6023,23.8
0.25356,9.9,5.705,3.945,16.2
0.31827,9.9,5.914,3.9986,17.8
0.24522,9.9,5.782,4.0317,19.8
0.40202,9.9,6.382,3.5325,23.1
0.47547,9.9,6.113,4.0019,21.0
0.1676,7.38,6.426,4.5404,23.8
0.18159,7.38,6.376,4.5404,23.1
0.35114,7.38,6.041,4.7211,20.4
0.28392,7.38,5.708,4.7211,18.5
0.34109,7.38,6.415,4.7211,25.0
0.19186,7.38,6.431,5.4159,24.6
0.30347,7.38,6.312,5.4159,23.0
0.24103,7.38,6.083,5.4159,22.2
0.06617,3.24,5.868,5.2146,19.3
0.06724,3.24,6.333,5.2146,22.6
0.04544,3.24,6.144,5.8736,19.8
0.05023,6.06,5.706,6.6407,17.1
0.03466,6.06,6.031,6.6407,19.4
0.05083,5.19,6.316,6.4584,22.2
0.03738,5.19,6.31,6.4584,20.7
0.03961,5.19,6.037,5.9853,21.1
0.03427,5.19,5.869,5.2311,19.5
0.03041,5.19,5.895,5.615,18.5
0.03306,5.19,6.059,4.8122,20.6
0.05497,5.19,5.985,4.8122,19.0
0.06151,5.19,5.968,4.8122,18.7
0.01301,1.52,7.241,7.0379,32.7
0.02498,1.89,6.54,6.2669,16.5
0.02543,3.78,6.696,5.7321,23.9
0.03049,3.78,6.874,6.4654,31.2
0.03113,4.39,6.014,8.0136,17.5
0.06162,4.39,5.898,8.0136,17.2
0.0187,4.15,6.516,8.5353,23.1
0.01501,2.01,6.635,8.344,24.5
0.02899,1.25,6.939,8.7921,26.6
0.06211,1.25,6.49,8.7921,22.9
0.0795,1.69,6.579,10.7103,24.1
0.07244,1.69,5.884,10.7103,18.6
0.01709,2.02,6.728,12.1265,30.1
0.04301,1.91,5.663,10.5857,18.2
0.10659,1.91,5.936,10.5857,20.6
8.98296,18.1,6.212,2.1222,17.8
3.8497,18.1,6.395,2.5052,21.7
5.20177,18.1,6.127,2.7227,22.7
4.26131,18.1,6.112,2.5091,22.6
4.54192,18.1,6.398,2.5182,25.0
3.83684,18.1,6.251,2.2955,19.9
3.67822,18.1,5.362,2.1036,20.8
4.22239,18.1,5.803,1.9047,16.8
3.47428,18.1,8.78,1.9047,21.9
4.55587,18.1,3.561,1.6132,27.5
3.69695,18.1,4.963,1.7523,21.9
13.5222,18.1,3.863,1.5106,23.1
4.89822,18.1,4.97,1.3325,50.0
5.66998,18.1,6.683,1.3567,50.0
6.53876,18.1,7.016,1.2024,50.0
9.2323,18.1,6.216,1.1691,50.0
8.26725,18.1,5.875,1.1296,50.0
11.1081,18.1,4.906,1.1742,13.8
18.4982,18.1,4.138,1.137,13.8
19.6091,18.1,7.313,1.3163,15.0
15.288,18.1,6.649,1.3449,13.9
9.82349,18.1,6.794,1.358,13.3
23.6482,18.1,6.38,1.3861,13.1
17.8667,18.1,6.223,1.3861,10.2
88.9762,18.1,6.968,1.4165,10.4
15.8744,18.1,6.545,1.5192,10.9
9.18702,18.1,5.536,1.5804,11.3
7.99248,18.1,5.52,1.5331,12.3
20.0849,18.1,4.368,1.4395,8.8
16.8118,18.1,5.277,1.4261,7.2
24.3938,18.1,4.652,1.4672,10.5
22.5971,18.1,5.0,1.5184,7.4
14.3337,18.1,4.88,1.5895,10.2
8.15174,18.1,5.39,1.7281,11.5
6.96215,18.1,5.713,1.9265,15.1
5.29305,18.1,6.051,2.1678,23.2
11.5779,18.1,5.036,1.77,9.7
8.64476,18.1,6.193,1.7912,13.8
13.3598,18.1,5.887,1.7821,12.7
8.71675,18.1,6.471,1.7257,13.1
5.87205,18.1,6.405,1.6768,12.5
7.67202,18.1,5.747,1.6334,8.5
38.3518,18.1,5.453,1.4896,5.0
9.91655,18.1,5.852,1.5004,6.3
25.0461,18.1,5.987,1.5888,5.6
14.2362,18.1,6.343,1.5741,7.2
9.59571,18.1,6.404,1.639,12.1
24.8017,18.1,5.349,1.7028,8.3
41.5292,18.1,5.531,1.6074,8.5
67.9208,18.1,5.683,1.4254,5.0
20.7162,18.1,4.138,1.1781,11.9
11.9511,18.1,5.608,1.2852,27.9
7.40389,18.1,5.617,1.4547,17.2
14.4383,18.1,6.852,1.4655,27.5
51.1358,18.1,5.757,1.413,15.0
14.0507,18.1,6.657,1.5275,17.2
18.811,18.1,4.628,1.5539,17.9
28.6558,18.1,5.155,1.5894,16.3
45.7461,18.1,4.519,1.6582,7.0
18.0846,18.1,6.434,1.8347,7.2
10.8342,18.1,6.782,1.8195,7.5
25.9406,18.1,5.304,1.6475,10.4
73.5341,18.1,5.957,1.8026,8.8
11.8123,18.1,6.824,1.794,8.4
11.0874,18.1,6.411,1.8589,16.7
7.02259,18.1,6.006,1.8746,14.2
12.0482,18.1,5.648,1.9512,20.8
7.05042,18.1,6.103,2.0218,13.4
8.79212,18.1,5.565,2.0635,11.7
15.8603,18.1,5.896,1.9096,8.3
12.2472,18.1,5.837,1.9976,10.2
37.6619,18.1,6.202,1.8629,10.9
7.36711,18.1,6.193,1.9356,11.0
9.33889,18.1,6.38,1.9682,9.5
8.49213,18.1,6.348,2.0527,14.5
10.0623,18.1,6.833,2.0882,14.1
6.44405,18.1,6.425,2.2004,16.1
5.58107,18.1,6.436,2.3158,14.3
13.9134,18.1,6.208,2.2222,11.7
11.1604,18.1,6.629,2.1247,13.4
14.4208,18.1,6.461,2.0026,9.6
15.1772,18.1,6.152,1.9142,8.7
13.6781,18.1,5.935,1.8206,8.4
9.39063,18.1,5.627,1.8172,12.8
22.0511,18.1,5.818,1.8662,10.5
9.72418,18.1,6.406,2.0651,17.1
5.66637,18.1,6.219,2.0048,18.4
9.96654,18.1,6.485,1.9784,15.4
12.8023,18.1,5.854,1.8956,10.8
10.6718,18.1,6.459,1.9879,11.8
6.28807,18.1,6.341,2.072,14.9
9.92485,18.1,6.251,2.198,12.6
9.32909,18.1,6.185,2.2616,14.1
7.52601,18.1,6.417,2.185,13.0
6.71772,18.1,6.749,2.3236,13.4
5.44114,18.1,6.655,2.3552,15.2
5.09017,18.1,6.297,2.3682,16.1
8.24809,18.1,7.393,2.4527,17.8
9.51363,18.1,6.728,2.4961,14.9
4.75237,18.1,6.525,2.4358,14.1
4.66883,18.1,5.976,2.5806,12.7
8.20058,18.1,5.936,2.7792,13.5
7.75223,18.1,6.301,2.7831,14.9
6.80117,18.1,6.081,2.7175,20.0
4.81213,18.1,6.701,2.5975,16.4
3.69311,18.1,6.376,2.5671,17.7
6.65492,18.1,6.317,2.7344,19.5
5.82115,18.1,6.513,2.8016,20.2
7.83932,18.1,6.209,2.9634,21.4
3.1636,18.1,5.759,3.0665,19.9
3.77498,18.1,5.952,2.8715,19.0
4.42228,18.1,6.003,2.5403,19.1
15.5757,18.1,5.926,2.9084,19.1
13.0751,18.1,5.713,2.8237,20.1
4.34879,18.1,6.167,3.0334,19.9
4.03841,18.1,6.229,3.0993,19.6
3.56868,18.1,6.437,2.8965,23.2
4.64689,18.1,6.98,2.5329,29.8
8.05579,18.1,5.427,2.4298,13.8
6.39312,18.1,6.162,2.206,13.3
4.87141,18.1,6.484,2.3053,16.7
15.0234,18.1,5.304,2.1007,12.0
10.233,18.1,6.185,2.1705,14.6
14.3337,18.1,6.229,1.9512,21.4
5.82401,18.1,6.242,3.4242,23.0
5.70818,18.1,6.75,3.3317,23.7
5.73116,18.1,7.061,3.4106,25.0
2.81838,18.1,5.762,4.0983,21.8
2.37857,18.1,5.871,3.724,20.6
3.67367,18.1,6.312,3.9917,21.2
5.69175,18.1,6.114,3.5459,19.1
4.83567,18.1,5.905,3.1523,20.6
0.15086,27.74,5.454,1.8209,15.2
0.18337,27.74,5.414,1.7554,7.0
0.20746,27.74,5.093,1.8226,8.1
0.10574,27.74,5.983,1.8681,13.6
0.11132,27.74,5.983,2.1099,20.1
0.17331,9.69,5.707,2.3817,21.8
0.27957,9.69,5.926,2.3817,24.5
0.17899,9.69,5.67,2.7986,23.1
0.2896,9.69,5.39,2.7986,19.7
0.26838,9.69,5.794,2.8927,18.3
0.23912,9.69,6.019,2.4091,21.2
0.17783,9.69,5.569,2.3999,17.5
0.22438,9.69,6.027,2.4982,16.8
0.06263,11.93,6.593,2.4786,22.4
0.04527,11.93,6.12,2.2875,20.6
0.06076,11.93,6.976,2.1675,23.9
0.10959,11.93,6.794,2.3889,22.0
0.04741,11.93,6.03,2.505,11.9
