Location,Role,VendorID,InvoiceValue,Resource,StartTimestamp,EndTimestamp,CaseId,ActivityName,TotalStepTime(minutes),EstimatedProcessingTime(minutes),new_StartTimestamp,Column1
"Seattle, USA",Invoice Approver,Vendor4,641.27,Addison,12/08/2022 14:33:55,12/08/2022 17:40:37,100,Approve Invoice,186.69,21.56,12/08/2022 17:19:03,12%
"Seattle, USA",Invoice Processor,Vendor4,641.27,Riley,12/08/2022 9:15:21,12/08/2022 10:35:25,100,Confirm Payment Received,80.06,29.43,12/08/2022 10:05:59,37%
"Seattle, USA",Invoice Processor,Vendor4,641.27,Riley,11/08/2022 17:59:25,11/08/2022 19:15:21,100,Invoice Entry,75.93,27.92,11/08/2022 18:47:26,37%
"Seattle, USA",Invoice Processor,Vendor4,641.27,Riley,12/08/2022 17:40:37,12/08/2022 18:29:46,100,Credit Memo Creation,49.16,18.07,12/08/2022 18:11:42,37%
"Seattle, USA",start,Vendor4,641.27,Riley,11/08/2022 17:59:25,11/08/2022 17:59:25,100,start,0,0,11/08/2022 17:59:25,0%
"Seattle, USA",Invoice Processor,Vendor4,641.27,Riley,15/08/2022 9:29:46,15/08/2022 9:53:42,100,Fill Credit Memo,23.92,8.79,15/08/2022 9:44:54,37%
"Seattle, USA",Invoice Processor,Vendor4,641.27,Riley,12/08/2022 10:35:25,12/08/2022 11:31:14,100,Refund With Standard Voucher,55.82,20.52,12/08/2022 11:10:43,37%
"Seattle, USA",Invoice Processor,Vendor4,641.27,Riley,15/08/2022 9:53:42,15/08/2022 10:14:55,100,Re-issuing the invoice,21.23,7.81,15/08/2022 10:07:07,37%
"Seattle, USA",start,Vendor4,552.06,Riley,11/08/2022 12:02:03,11/08/2022 12:02:03,101,start,0,0,11/08/2022 12:02:03,0%
"Seattle, USA",Invoice Approver,Vendor4,552.06,Addison,12/08/2022 9:30:06,12/08/2022 12:41:15,101,Approve Invoice,191.16,22.07,12/08/2022 12:19:11,12%
"Seattle, USA",Invoice Processor,Vendor4,552.06,Riley,12/08/2022 13:50:37,12/08/2022 14:51:17,101,Re-issuing the invoice,60.67,22.3,12/08/2022 14:28:59,37%
"Seattle, USA",Invoice Processor,Vendor4,552.06,Riley,12/08/2022 13:15:24,12/08/2022 13:50:37,101,Fill Credit Memo,35.22,12.95,12/08/2022 13:37:40,37%
"Seattle, USA",Invoice Processor,Vendor4,552.06,Riley,12/08/2022 12:41:15,12/08/2022 13:15:24,101,Credit Memo Creation,34.14,12.55,12/08/2022 13:02:51,37%
"Seattle, USA",Invoice Approver,Vendor4,552.06,Addison,11/08/2022 15:24:59,11/08/2022 18:30:06,101,Complete the Customer Memo,185.11,21.38,11/08/2022 18:08:43,12%
"Seattle, USA",Invoice Processor,Vendor4,552.06,Riley,11/08/2022 14:32:24,11/08/2022 15:24:59,101,Refund With Standard Voucher,52.59,19.33,11/08/2022 15:05:39,37%
"Seattle, USA",Invoice Processor,Vendor4,552.06,Riley,11/08/2022 13:12:42,11/08/2022 14:32:24,101,Confirm Payment Received,79.69,29.3,11/08/2022 14:03:06,37%
"Seattle, USA",Invoice Processor,Vendor4,552.06,Riley,11/08/2022 12:02:03,11/08/2022 13:12:42,101,Invoice Entry,70.65,25.97,11/08/2022 12:46:44,37%
"San Francisco, USA",Invoice Processor,Vendor1,1130.47,Aiden,21/07/2022 12:32:43,21/07/2022 14:25:12,102,Confirm Payment Received,112.49,41.36,21/07/2022 13:43:50,37%
"San Francisco, USA",Invoice Processor,Vendor1,1130.47,Aiden,21/07/2022 10:56:23,21/07/2022 12:32:43,102,Invoice Entry,96.32,35.41,21/07/2022 11:57:18,37%
"San Francisco, USA",Invoice Approver,Vendor1,1130.47,Jackie,21/07/2022 15:53:16,21/07/2022 19:03:51,102,Complete the Customer Memo,190.58,22.01,21/07/2022 18:41:50,12%
"San Francisco, USA",Invoice Approver,Vendor1,1130.47,Jackie,22/07/2022 9:03:51,22/07/2022 11:58:00,102,Approve Invoice,174.15,20.11,22/07/2022 11:37:53,12%
"San Francisco, USA",Invoice Processor,Vendor1,1130.47,Aiden,22/07/2022 11:58:00,22/07/2022 13:21:46,102,Credit Memo Creation,83.76,30.79,22/07/2022 12:50:58,37%
"San Francisco, USA",Invoice Processor,Vendor1,1130.47,Aiden,22/07/2022 13:21:46,22/07/2022 14:58:59,102,Fill Credit Memo,97.22,35.74,22/07/2022 14:23:14,37%
"San Francisco, USA",Invoice Processor,Vendor1,1130.47,Aiden,22/07/2022 14:58:59,22/07/2022 16:36:26,102,Re-issuing the invoice,97.46,35.83,22/07/2022 16:00:37,37%
"San Francisco, USA",start,Vendor1,1130.47,Aiden,21/07/2022 10:56:23,21/07/2022 10:56:23,102,start,0,0,21/07/2022 10:56:23,0%
"San Francisco, USA",Invoice Processor,Vendor1,1130.47,Aiden,21/07/2022 14:25:12,21/07/2022 15:53:16,102,Refund With Standard Voucher,88.07,32.38,21/07/2022 15:20:53,37%
"Seattle, USA",start,Vendor3,1631.06,Riley,9/08/2022 15:16:13,9/08/2022 15:16:13,103,start,0,0,9/08/2022 15:16:13,0%
"Seattle, USA",Invoice Processor,Vendor3,1631.06,Riley,9/08/2022 15:16:13,9/08/2022 17:12:38,103,Invoice Entry,116.42,42.8,9/08/2022 16:29:50,37%
"Seattle, USA",Invoice Processor,Vendor3,1631.06,Riley,10/08/2022 11:54:52,10/08/2022 12:33:27,103,Re-issuing the invoice,38.57,14.18,10/08/2022 12:19:16,37%
"Seattle, USA",Invoice Processor,Vendor3,1631.06,Riley,10/08/2022 10:03:25,10/08/2022 11:54:52,103,Refund Customer,111.46,40.98,10/08/2022 11:13:54,37%
"Seattle, USA",Invoice Processor,Vendor3,1631.06,Riley,10/08/2022 9:20:34,10/08/2022 10:03:25,103,Credit Memo Entry,42.84,15.75,10/08/2022 9:47:40,37%
"Seattle, USA",Invoice Processor,Vendor3,1631.06,Riley,9/08/2022 17:12:38,9/08/2022 18:20:34,103,Check Customer Payment,67.94,24.98,9/08/2022 17:55:36,37%
"San Francisco, USA",Invoice Processor,Vendor1,918.53,Aiden,19/07/2022 11:11:09,19/07/2022 12:52:58,104,Check Customer Payment,101.81,37.43,19/07/2022 12:15:32,37%
"San Francisco, USA",Invoice Processor,Vendor1,918.53,Aiden,19/07/2022 12:52:58,19/07/2022 14:02:39,104,Credit Memo Entry,69.68,25.62,19/07/2022 13:37:01,37%
"San Francisco, USA",Invoice Processor,Vendor1,918.53,Aiden,19/07/2022 14:02:39,19/07/2022 15:49:58,104,Refund Customer,107.33,39.46,19/07/2022 15:10:31,37%
"San Francisco, USA",Invoice Processor,Vendor1,918.53,Aiden,19/07/2022 9:23:36,19/07/2022 11:11:09,104,Invoice Entry,107.56,39.54,19/07/2022 10:31:37,37%
"San Francisco, USA",start,Vendor1,918.53,Aiden,19/07/2022 9:23:36,19/07/2022 9:23:36,104,start,0,0,19/07/2022 9:23:36,0%
"San Francisco, USA",Invoice Processor,Vendor1,918.53,Aiden,19/07/2022 15:49:58,19/07/2022 16:47:36,104,Re-issuing the invoice,57.63,21.19,19/07/2022 16:26:25,37%
"San Diego, USA",Invoice Processor,Vendor5,1001.87,Abbie,18/07/2022 9:04:34,18/07/2022 15:46:55,105,Invoice Entry,402.35,147.92,18/07/2022 13:19:00,37%
"San Diego, USA",Invoice Processor,Vendor5,1001.87,Abbie,20/07/2022 9:50:35,20/07/2022 15:57:48,105,Re-issuing the invoice,367.22,135.01,20/07/2022 13:42:48,37%
"San Diego, USA",Invoice Processor,Vendor5,1001.87,Abbie,19/07/2022 9:01:36,19/07/2022 15:48:08,105,Credit Memo Entry,406.54,149.46,19/07/2022 13:18:40,37%
"San Diego, USA",Invoice Processor,Vendor5,1001.87,Abbie,18/07/2022 15:46:55,18/07/2022 22:01:36,105,Check Customer Payment,374.67,137.75,18/07/2022 19:43:51,37%
"San Diego, USA",Invoice Processor,Vendor5,1001.87,Abbie,19/07/2022 15:48:08,19/07/2022 22:50:35,105,Refund Customer,422.45,155.31,19/07/2022 20:15:16,37%
"San Diego, USA",start,Vendor5,1001.87,Abbie,18/07/2022 9:04:34,18/07/2022 9:04:34,105,start,0,0,18/07/2022 9:04:34,0%
"Seattle, USA",Invoice Processor,Vendor3,2711.37,Riley,26/07/2022 10:50:20,26/07/2022 11:42:26,106,Re-issuing the invoice,52.1,19.15,26/07/2022 11:23:17,37%
"Seattle, USA",Invoice Processor,Vendor3,2711.37,Riley,26/07/2022 10:25:12,26/07/2022 10:50:20,106,Fill Credit Memo,25.14,9.24,26/07/2022 10:41:06,37%
"Seattle, USA",Invoice Approver,Vendor3,2711.37,Addison,25/07/2022 15:16:10,25/07/2022 18:30:12,106,Approve Invoice,194.03,22.41,25/07/2022 18:07:47,12%
"Seattle, USA",Invoice Processor,Vendor3,2711.37,Riley,26/07/2022 9:30:12,26/07/2022 10:25:12,106,Credit Memo Creation,55,20.22,26/07/2022 10:04:59,37%
"Seattle, USA",Invoice Processor,Vendor3,2711.37,Riley,25/07/2022 11:48:21,25/07/2022 12:27:55,106,Refund With Standard Voucher,39.56,14.54,25/07/2022 12:13:22,37%
"Seattle, USA",Invoice Processor,Vendor3,2711.37,Riley,25/07/2022 10:16:40,25/07/2022 11:48:21,106,Confirm Payment Received,91.68,33.71,25/07/2022 11:14:38,37%
"Seattle, USA",Invoice Processor,Vendor3,2711.37,Riley,25/07/2022 9:11:37,25/07/2022 10:16:40,106,Invoice Entry,65.06,23.92,25/07/2022 9:52:45,37%
"Seattle, USA",start,Vendor3,2711.37,Riley,25/07/2022 9:11:37,25/07/2022 9:11:37,106,start,0,0,25/07/2022 9:11:37,0%
"Seattle, USA",Invoice Approver,Vendor3,2711.37,Addison,25/07/2022 12:27:55,25/07/2022 15:16:10,106,Complete the Customer Memo,168.26,19.43,25/07/2022 14:56:44,12%
"San Francisco, USA",Invoice Processor,Vendor3,3101.23,Aiden,5/08/2022 11:40:28,5/08/2022 13:20:00,107,Check Customer Payment,99.54,36.6,5/08/2022 12:43:24,37%
"San Francisco, USA",Invoice Processor,Vendor3,3101.23,Aiden,5/08/2022 13:20:00,5/08/2022 14:39:31,107,Credit Memo Entry,79.51,29.23,5/08/2022 14:10:17,37%
"San Francisco, USA",Invoice Processor,Vendor3,3101.23,Aiden,5/08/2022 9:50:35,5/08/2022 11:40:28,107,Invoice Entry,109.88,40.4,5/08/2022 11:00:04,37%
"San Francisco, USA",Invoice Processor,Vendor3,3101.23,Aiden,5/08/2022 16:57:37,5/08/2022 18:24:20,107,Re-issuing the invoice,86.72,31.88,5/08/2022 17:52:27,37%
"San Francisco, USA",Invoice Processor,Vendor3,3101.23,Aiden,5/08/2022 14:39:31,5/08/2022 16:57:37,107,Refund Customer,138.1,50.77,5/08/2022 16:06:50,37%
"San Francisco, USA",start,Vendor3,3101.23,Aiden,5/08/2022 9:50:35,5/08/2022 9:50:35,107,start,0,0,5/08/2022 9:50:35,0%
"Seattle, USA",start,Vendor5,657.21,Riley,22/08/2022 11:35:00,22/08/2022 11:35:00,108,start,0,0,22/08/2022 11:35:00,0%
"Seattle, USA",Invoice Processor,Vendor5,657.21,Riley,22/08/2022 12:38:33,22/08/2022 14:27:18,108,Confirm Payment Received,108.75,39.98,22/08/2022 13:47:19,37%
"Seattle, USA",Invoice Processor,Vendor5,657.21,Riley,22/08/2022 14:27:18,22/08/2022 15:17:42,108,Refund With Standard Voucher,50.41,18.53,22/08/2022 14:59:10,37%
"Seattle, USA",Invoice Processor,Vendor5,657.21,Riley,23/08/2022 13:44:58,23/08/2022 14:21:13,108,Fill Credit Memo,36.25,13.33,23/08/2022 14:07:54,37%
"Seattle, USA",Invoice Approver,Vendor5,657.21,Addison,23/08/2022 9:56:54,23/08/2022 12:57:27,108,Approve Invoice,180.54,20.85,23/08/2022 12:36:36,12%
"Seattle, USA",Invoice Processor,Vendor5,657.21,Riley,23/08/2022 12:57:27,23/08/2022 13:44:58,108,Credit Memo Creation,47.53,17.47,23/08/2022 13:27:30,37%
"Seattle, USA",Invoice Processor,Vendor5,657.21,Riley,23/08/2022 14:21:13,23/08/2022 14:53:01,108,Re-issuing the invoice,31.8,11.69,23/08/2022 14:41:20,37%
"Seattle, USA",Invoice Processor,Vendor5,657.21,Riley,22/08/2022 11:35:00,22/08/2022 12:38:33,108,Invoice Entry,63.55,23.36,22/08/2022 12:15:11,37%
"Seattle, USA",Invoice Approver,Vendor5,657.21,Addison,22/08/2022 15:17:42,22/08/2022 18:56:54,108,Complete the Customer Memo,219.2,25.31,22/08/2022 18:31:36,12%
"Seattle, USA",Invoice Processor,Vendor4,545.71,Riley,17/08/2022 9:21:04,17/08/2022 10:48:43,109,Credit Memo Entry,87.66,32.23,17/08/2022 10:16:29,37%
"Seattle, USA",Invoice Processor,Vendor4,545.71,Riley,17/08/2022 11:52:15,17/08/2022 12:14:25,109,Re-issuing the invoice,22.17,8.15,17/08/2022 12:06:16,37%
"Seattle, USA",Invoice Processor,Vendor4,545.71,Riley,17/08/2022 10:48:43,17/08/2022 11:52:15,109,Refund Customer,63.53,23.36,17/08/2022 11:28:53,37%
"Seattle, USA",Invoice Processor,Vendor4,545.71,Riley,16/08/2022 17:04:10,16/08/2022 18:21:04,109,Check Customer Payment,76.9,28.27,16/08/2022 17:52:47,37%
"Seattle, USA",Invoice Processor,Vendor4,545.71,Riley,16/08/2022 15:45:23,16/08/2022 17:04:10,109,Invoice Entry,78.77,28.96,16/08/2022 16:35:12,37%
"Seattle, USA",start,Vendor4,545.71,Riley,16/08/2022 15:45:23,16/08/2022 15:45:23,109,start,0,0,16/08/2022 15:45:23,0%
"Seattle, USA",Invoice Processor,Vendor3,3392,Riley,19/07/2022 9:58:31,19/07/2022 11:06:38,11,Invoice Entry,68.12,25.04,19/07/2022 10:41:36,37%
"Seattle, USA",start,Vendor3,3392,Riley,19/07/2022 9:58:31,19/07/2022 9:58:31,11,start,0,0,19/07/2022 9:58:31,0%
"Seattle, USA",Invoice Processor,Vendor3,3392,Riley,19/07/2022 11:06:38,19/07/2022 11:48:20,11,Check Customer Payment,41.7,15.33,19/07/2022 11:33:00,37%
"Seattle, USA",Invoice Processor,Vendor3,3392,Riley,19/07/2022 11:48:20,19/07/2022 12:56:57,11,Credit Memo Entry,68.61,25.22,19/07/2022 12:31:44,37%
"Seattle, USA",Invoice Processor,Vendor3,3392,Riley,19/07/2022 12:56:57,19/07/2022 14:45:32,11,Refund Customer,108.58,39.92,19/07/2022 14:05:36,37%
"Seattle, USA",Invoice Processor,Vendor3,3392,Riley,19/07/2022 14:45:32,19/07/2022 15:00:04,11,Re-issuing the invoice,14.54,5.35,19/07/2022 14:54:43,37%
"San Francisco, USA",Invoice Processor,Vendor3,2422.06,Aiden,18/08/2022 14:34:32,18/08/2022 15:49:34,110,Credit Memo Entry,75.03,27.58,18/08/2022 15:21:59,37%
"San Francisco, USA",start,Vendor3,2422.06,Aiden,18/08/2022 10:40:50,18/08/2022 10:40:50,110,start,0,0,18/08/2022 10:40:50,0%
"San Francisco, USA",Invoice Processor,Vendor3,2422.06,Aiden,18/08/2022 10:40:50,18/08/2022 12:45:13,110,Invoice Entry,124.39,45.73,18/08/2022 11:59:29,37%
"San Francisco, USA",Invoice Processor,Vendor3,2422.06,Aiden,18/08/2022 15:49:34,18/08/2022 17:26:32,110,Refund Customer,96.97,35.65,18/08/2022 16:50:53,37%
"San Francisco, USA",Invoice Processor,Vendor3,2422.06,Aiden,18/08/2022 17:26:32,18/08/2022 18:56:25,110,Re-issuing the invoice,89.88,33.04,18/08/2022 18:23:23,37%
"San Francisco, USA",Invoice Processor,Vendor3,2422.06,Aiden,18/08/2022 12:45:13,18/08/2022 14:34:32,110,Check Customer Payment,109.32,40.19,18/08/2022 13:54:21,37%
"Seattle, USA",Invoice Processor,Vendor1,894.46,Riley,15/07/2022 14:29:37,15/07/2022 14:55:39,111,Re-issuing the invoice,26.04,9.57,15/07/2022 14:46:05,37%
"Seattle, USA",Invoice Processor,Vendor1,894.46,Riley,15/07/2022 12:00:38,15/07/2022 13:00:00,111,Credit Memo Entry,59.36,21.82,15/07/2022 12:38:10,37%
"Seattle, USA",Invoice Processor,Vendor1,894.46,Riley,15/07/2022 10:53:37,15/07/2022 12:00:38,111,Check Customer Payment,67.01,24.64,15/07/2022 11:36:00,37%
"Seattle, USA",Invoice Processor,Vendor1,894.46,Riley,15/07/2022 13:00:00,15/07/2022 14:29:37,111,Refund Customer,89.62,32.95,15/07/2022 13:56:40,37%
"Seattle, USA",start,Vendor1,894.46,Riley,15/07/2022 9:39:44,15/07/2022 9:39:44,111,start,0,0,15/07/2022 9:39:44,0%
"Seattle, USA",Invoice Processor,Vendor1,894.46,Riley,15/07/2022 9:39:44,15/07/2022 10:53:37,111,Invoice Entry,73.89,27.17,15/07/2022 10:26:27,37%
"Seattle, USA",Invoice Processor,Vendor4,459.63,Riley,21/07/2022 14:19:36,21/07/2022 14:56:29,112,Re-issuing the invoice,36.89,13.56,21/07/2022 14:42:56,37%
"Seattle, USA",Invoice Processor,Vendor4,459.63,Riley,20/07/2022 12:55:39,20/07/2022 13:41:22,112,Invoice Entry,45.72,16.81,20/07/2022 13:24:34,37%
"Seattle, USA",start,Vendor4,459.63,Riley,20/07/2022 12:55:39,20/07/2022 12:55:39,112,start,0,0,20/07/2022 12:55:39,0%
"Seattle, USA",Invoice Processor,Vendor4,459.63,Riley,21/07/2022 13:12:48,21/07/2022 14:19:36,112,Fill Credit Memo,66.8,24.56,21/07/2022 13:55:02,37%
"Seattle, USA",Invoice Processor,Vendor4,459.63,Riley,21/07/2022 12:32:19,21/07/2022 13:12:48,112,Credit Memo Creation,40.48,14.88,21/07/2022 12:57:55,37%
"Seattle, USA",Invoice Approver,Vendor4,459.63,Addison,21/07/2022 9:35:01,21/07/2022 12:32:19,112,Approve Invoice,177.31,20.47,21/07/2022 12:11:51,12%
"Seattle, USA",Invoice Approver,Vendor4,459.63,Addison,20/07/2022 16:02:35,20/07/2022 19:35:01,112,Complete the Customer Memo,212.43,24.53,20/07/2022 19:10:29,12%
"Seattle, USA",Invoice Processor,Vendor4,459.63,Riley,20/07/2022 14:56:25,20/07/2022 16:02:35,112,Refund With Standard Voucher,66.17,24.33,20/07/2022 15:38:15,37%
"Seattle, USA",Invoice Processor,Vendor4,459.63,Riley,20/07/2022 13:41:22,20/07/2022 14:56:25,112,Confirm Payment Received,75.04,27.59,20/07/2022 14:28:49,37%
"San Diego, USA",Invoice Approver,Vendor5,1358.24,Jessie,21/07/2022 9:03:47,21/07/2022 17:22:03,113,Approve Invoice,498.27,57.54,21/07/2022 16:24:31,12%
"San Diego, USA",Invoice Processor,Vendor5,1358.24,Casey,22/07/2022 13:30:41,22/07/2022 19:44:24,113,Re-issuing the invoice,373.72,137.4,22/07/2022 17:27:00,37%
"San Diego, USA",Invoice Processor,Vendor5,1358.24,Casey,22/07/2022 9:47:15,22/07/2022 13:30:41,113,Fill Credit Memo,223.43,82.14,22/07/2022 12:08:33,37%
"San Diego, USA",start,Vendor5,1358.24,Casey,19/07/2022 9:53:04,19/07/2022 9:53:04,113,start,0,0,19/07/2022 9:53:04,0%
"San Diego, USA",Invoice Processor,Vendor5,1358.24,Casey,19/07/2022 9:53:04,19/07/2022 16:42:10,113,Invoice Entry,409.1,150.4,19/07/2022 14:11:46,37%
"San Diego, USA",Invoice Processor,Vendor5,1358.24,Casey,19/07/2022 16:42:10,20/07/2022 1:12:46,113,Confirm Payment Received,510.6,187.72,19/07/2022 22:05:03,37%
"San Diego, USA",Invoice Processor,Vendor5,1358.24,Casey,20/07/2022 9:12:46,20/07/2022 17:38:39,113,Refund With Standard Voucher,505.88,185.98,20/07/2022 14:32:40,37%
"San Diego, USA",Invoice Approver,Vendor5,1358.24,Jessie,20/07/2022 17:38:39,21/07/2022 4:03:47,113,Complete the Customer Memo,625.14,72.19,21/07/2022 2:51:36,12%
"San Diego, USA",Invoice Processor,Vendor5,1358.24,Casey,21/07/2022 17:22:03,21/07/2022 23:47:15,113,Credit Memo Creation,385.2,141.62,21/07/2022 21:25:38,37%
"San Francisco, USA",Invoice Processor,Vendor4,243.15,Aiden,12/08/2022 9:23:13,12/08/2022 10:43:03,114,Check Customer Payment,79.84,29.35,12/08/2022 10:13:42,37%
"San Francisco, USA",Invoice Processor,Vendor4,243.15,Aiden,12/08/2022 10:43:03,12/08/2022 11:50:39,114,Credit Memo Entry,67.59,24.85,12/08/2022 11:25:48,37%
"San Francisco, USA",Invoice Processor,Vendor4,243.15,Aiden,12/08/2022 11:50:39,12/08/2022 13:57:02,114,Refund Customer,126.39,46.47,12/08/2022 13:10:34,37%
"San Francisco, USA",Invoice Processor,Vendor4,243.15,Aiden,12/08/2022 13:57:02,12/08/2022 15:26:33,114,Re-issuing the invoice,89.51,32.91,12/08/2022 14:53:38,37%
"San Francisco, USA",Invoice Processor,Vendor4,243.15,Aiden,11/08/2022 16:12:55,11/08/2022 18:23:13,114,Invoice Entry,130.3,47.9,11/08/2022 17:35:19,37%
"San Francisco, USA",start,Vendor4,243.15,Aiden,11/08/2022 16:12:55,11/08/2022 16:12:55,114,start,0,0,11/08/2022 16:12:55,0%
"San Francisco, USA",Invoice Processor,Vendor1,821.12,Aiden,29/07/2022 15:27:45,29/07/2022 16:36:55,115,Check Customer Payment,69.17,25.43,29/07/2022 16:11:29,37%
"San Francisco, USA",start,Vendor1,821.12,Aiden,29/07/2022 13:17:07,29/07/2022 13:17:07,115,start,0,0,29/07/2022 13:17:07,0%
"San Francisco, USA",Invoice Processor,Vendor1,821.12,Aiden,1/08/2022 9:05:51,1/08/2022 11:55:25,115,Refund Customer,169.58,62.35,1/08/2022 10:53:04,37%
"San Francisco, USA",Invoice Processor,Vendor1,821.12,Aiden,1/08/2022 11:55:25,1/08/2022 13:12:53,115,Re-issuing the invoice,77.46,28.48,1/08/2022 12:44:24,37%
"San Francisco, USA",Invoice Processor,Vendor1,821.12,Aiden,29/07/2022 13:17:07,29/07/2022 15:27:45,115,Invoice Entry,130.62,48.02,29/07/2022 14:39:43,37%
"San Francisco, USA",Invoice Processor,Vendor1,821.12,Aiden,29/07/2022 16:36:55,29/07/2022 18:05:51,115,Credit Memo Entry,88.93,32.69,29/07/2022 17:33:09,37%
"San Francisco, USA",Invoice Processor,Vendor2,2495.13,Aiden,3/08/2022 10:57:51,3/08/2022 12:30:14,116,Fill Credit Memo,92.38,33.96,3/08/2022 11:56:17,37%
"San Francisco, USA",Invoice Processor,Vendor2,2495.13,Aiden,3/08/2022 9:22:32,3/08/2022 10:57:51,116,Credit Memo Creation,95.32,35.04,3/08/2022 10:22:49,37%
"San Francisco, USA",Invoice Approver,Vendor2,2495.13,Jackie,2/08/2022 17:44:57,2/08/2022 21:22:32,116,Approve Invoice,217.59,25.13,2/08/2022 20:57:24,12%
"San Francisco, USA",Invoice Approver,Vendor2,2495.13,Jackie,2/08/2022 14:39:10,2/08/2022 17:44:57,116,Complete the Customer Memo,185.78,21.45,2/08/2022 17:23:30,12%
"San Francisco, USA",Invoice Processor,Vendor2,2495.13,Aiden,2/08/2022 13:16:44,2/08/2022 14:39:10,116,Refund With Standard Voucher,82.43,30.3,2/08/2022 14:08:52,37%
"San Francisco, USA",Invoice Processor,Vendor2,2495.13,Aiden,3/08/2022 12:30:14,3/08/2022 13:35:36,116,Re-issuing the invoice,65.36,24.03,3/08/2022 13:11:34,37%
"San Francisco, USA",Invoice Processor,Vendor2,2495.13,Aiden,2/08/2022 9:51:27,2/08/2022 11:34:49,116,Invoice Entry,103.36,38,2/08/2022 10:56:49,37%
